name,company,year,Price,kms_driven,fuel_type
Hyundai0Santro0Xing0XO0eRLX0Euro0III,Hyundai,2007,"80,000","45,0000kms",Petrol
Mahindra0Jeep0CL5500MDI,Mahindra,2006,"4,25,000",400kms,Diesel
Maruti0Suzuki0Alto08000Vxi,Maruti,2018,Ask0For0Price,"22,0000kms",Petrol
Hyundai0Grand0i100Magna01.20Kappa0VTVT,Hyundai,2014,"3,25,000","28,0000kms",Petrol
Ford0EcoSport0Titanium01.5L0TDCi,Ford,2014,"5,75,000","36,0000kms",Diesel
Ford0EcoSport0Titanium01.5L0TDCi,Ford,2015,Ask0For0Price,"59,0000kms",Diesel
Ford0Figo,Ford,2012,"1,75,000","41,0000kms",Diesel
Hyundai0Eon,Hyundai,2013,"1,90,000","25,0000kms",Petrol
Ford0EcoSport0Ambiente01.5L0TDCi,Ford,2016,"8,30,000","24,5300kms",Diesel
Maruti0Suzuki0Alto0K100VXi0AMT,Maruti,2015,"2,50,000","60,0000kms",Petrol
Skoda0Fabia0Classic01.20MPI,Skoda,2010,"1,82,000","60,0000kms",Petrol
Maruti0Suzuki0Stingray0VXi,Maruti,2015,"3,15,000","30,0000kms",Petrol
Hyundai0Elite0i200Magna01.2,Hyundai,2014,"4,15,000","32,0000kms",Petrol
Mahindra0Scorpio0SLE0BS0IV,Mahindra,2015,"3,20,000","48,6600kms",Diesel
Hyundai0Santro0Xing0XO0eRLX0Euro0III,Hyundai,2007,"80,000","45,0000kms",Petrol
Mahindra0Jeep0CL5500MDI,Mahindra,2006,"4,25,000",400kms,Diesel
Audi0A8,Audi,2017,"10,00,000","4,0000kms",Petrol
Audi0Q7,Audi,2014,"5,00,000","16,9340kms",Diesel
Mahindra0Scorpio0S10,Mahindra,2016,"3,50,000","43,0000kms",Diesel
Maruti0Suzuki0Alto0800,Maruti,2014,"1,60,000","35,5500kms",Petrol
Mahindra0Scorpio0S10,Mahindra,2016,"3,50,000","43,0000kms",Diesel
Mahindra0Scorpio0S10,Mahindra,2016,"3,10,000","39,5220kms",Diesel
Maruti0Suzuki0Alto08000Vxi,Maruti,2015,"75,000","39,0000kms",Petrol
Hyundai0i200Sportz01.2,Hyundai,2012,"1,00,000","55,0000kms",Petrol
Hyundai0i200Sportz01.2,Hyundai,2012,"1,00,000","55,0000kms",Petrol
Hyundai0i200Sportz01.2,Hyundai,2012,"1,00,000","55,0000kms",Petrol
Maruti0Suzuki0Alto08000Lx,Maruti,2017,"1,90,000","72,0000kms",Petrol
Maruti0Suzuki0Vitara0Brezza0ZDi,Maruti,2016,"2,90,000","15,9750kms",Diesel
Maruti0Suzuki0Alto0LX,Maruti,2008,"95,000","70,0000kms",Petrol
Mahindra0Bolero0DI,Mahindra,2017,"1,80,000","23,4520kms",Diesel
Maruti0Suzuki0Swift0Dzire0ZDi,Maruti,2014,"3,85,000","35,5220kms",Diesel
Mahindra0Scorpio0S1004WD,Mahindra,2015,"2,50,000","48,5080kms",Diesel
Maruti0Suzuki0Swift0Vdi0BSIII,Maruti,2017,"1,80,000","15,4870kms",Petrol
Maruti0Suzuki0Wagon0R0VXi0BS0III,Maruti,2013,"1,05,000","39,0000kms",Petrol
Maruti0Suzuki0Wagon0R0VXi0Minor,Maruti,2013,"1,05,000","39,0000kms",Petrol
Toyota0Innova02.00G080STR0BS0IV,Toyota,2012,"6,50,000","82,0000kms",Diesel
Renault0Lodgy0850PS0RXL,Renault,2018,"6,89,999","20,0000kms",Diesel
Skoda0Yeti0Ambition02.00TDI0CR04x2,Skoda,2012,"4,48,000","68,0000kms",Diesel
Maruti0Suzuki0Baleno0Delta01.2,Maruti,2017,"5,49,000","32,0000kms",Diesel
Renault0Duster01100PS0RxZ0Diesel0Plus,Renault,2012,"5,01,000","38,0000kms",Diesel
